,model,RMSE,R2 score,time,features
0,OLS,21.48933011271542,0.6013588136482289,0.008974075317382812,8
1,ElasticNet,21.892561405940445,0.5862580425507908,0.028922319412231445,8
2,BayesianRidge,21.489165018523337,0.6013649388360722,0.00598454475402832,8
3,Lasso,21.59192610291581,0.5975432811437416,0.058843374252319336,8
4,Ridge,21.489324312332204,0.6013590288500359,0.003988504409790039,8
5,KNN,16.066784186042998,0.7771593933703784,0.059839725494384766,8
6,rff,10.813286432505418,0.8990626668680973,6.031073808670044,8
7,etr,10.899792342096516,0.8974412167348612,2.806734561920166,8
0,OLS,21.640133130057865,0.5929701480192829,0.007977485656738281,9
1,ElasticNet,21.956478217495505,0.5809828794897118,0.0608372688293457,9
2,BayesianRidge,21.63927782052572,0.5930023224638912,0.008976221084594727,9
3,Lasso,21.698449062638755,0.5907734602591511,0.06482672691345215,9
4,Ridge,21.64010652677426,0.5929711487824361,0.004987239837646484,9
5,KNN,15.845109652657058,0.7817788181550912,0.06382870674133301,9
6,rff,10.65104853336929,0.9013967719964349,7.2252137660980225,9
7,etr,10.697841015793555,0.9005284960265483,3.283764362335205,9
0,OLS,21.40729487855192,0.6121089791176264,0.010969877243041992,10
1,ElasticNet,21.76934105965331,0.5988777888034493,0.1216742992401123,10
2,BayesianRidge,21.409211269450793,0.612039527643356,0.011968374252319336,10
3,Lasso,21.463689142358152,0.6100626073888229,0.16456103324890137,10
4,Ridge,21.40733161849342,0.6121076476924534,0.008974790573120117,10
5,KNN,15.74565226780886,0.790150733320463,0.11768579483032227,10
6,rff,10.208726872606112,0.9117876660090137,9.247794151306152,10
7,etr,10.00126111768947,0.9153366057047475,3.5441861152648926,10
0,OLS,21.15440245462567,0.6147232624520886,0.009941339492797852,11
1,ElasticNet,21.371367521653397,0.6067797375093696,0.10070681571960449,11
2,BayesianRidge,21.153355899711073,0.6147613824878686,0.008976459503173828,11
3,Lasso,21.25529949205346,0.6110393025223075,0.09175467491149902,11
4,Ridge,21.154369590205732,0.6147244595444374,0.003989219665527344,11
5,KNN,15.419176651474642,0.7953114115978338,0.08078384399414062,11
6,rff,10.176471624300175,0.9108408920005074,10.853159189224243,11
7,etr,9.764004836521647,0.9179219113093692,3.6324305534362793,11
0,OLS,21.257229022494712,0.6146184328574753,0.009972095489501953,12
1,ElasticNet,21.609885283144315,0.6017254477068663,0.10671472549438477,12
2,BayesianRidge,21.259628190209938,0.6145314368346615,0.008975744247436523,12
3,Lasso,21.41538810371638,0.6088624293783125,0.1047203540802002,12
4,Ridge,21.257285397706262,0.6146163887532169,0.003989458084106445,12
5,KNN,16.037628777413865,0.7806397418368135,0.0827784538269043,12
6,rff,10.005499919434536,0.9146201827544381,12.265506505966187,12
7,etr,9.741312703515964,0.9190694289587271,5.749160528182983,12
0,OLS,21.284297841158526,0.6116704007285573,0.010966300964355469,13
1,ElasticNet,21.54952156366381,0.6019321487682306,0.14860320091247559,13
2,BayesianRidge,21.28568847593457,0.6116196551234245,0.011967182159423828,13
3,Lasso,21.383461719822748,0.6080435040493014,0.1436169147491455,13
4,Ridge,21.284327635057814,0.6116693135551721,0.005983829498291016,13
5,KNN,15.737843527798264,0.7876891028167012,0.09876775741577148,13
6,rff,9.746209225076166,0.9185758375436553,13.131813049316406,13
7,etr,9.55453910265355,0.9217469409743241,4.184980869293213,13
0,OLS,20.902707245261354,0.6246822267123777,0.009940385818481445,14
1,ElasticNet,21.366115547695035,0.6078563377732477,0.14760541915893555,14
2,BayesianRidge,20.905898650600722,0.6245676116464555,0.010970830917358398,14
3,Lasso,21.11392961652751,0.617058711766916,0.12466716766357422,14
4,Ridge,20.90274535153884,0.6246808582794677,0.004987001419067383,14
5,KNN,15.140295470076403,0.8030922741662618,0.10673213005065918,14
6,rff,9.642196746070764,0.9201369241323544,14.83450198173523,14
7,etr,9.385481217979157,0.9243328903828535,4.293812274932861,14
0,OLS,20.746743184312677,0.6264083811594919,0.010970592498779297,15
1,ElasticNet,21.293586655109554,0.6064545446973332,0.3650238513946533,15
2,BayesianRidge,20.749825757595794,0.6262973556276741,0.02194070816040039,15
3,Lasso,20.973597020557122,0.6181936901623315,0.36801600456237793,15
4,Ridge,20.746790068571016,0.6264066926452412,0.00498652458190918,15
5,KNN,15.26462670978083,0.7977587973456226,0.10471963882446289,15
6,rff,9.711091824254163,0.9181472294509047,15.69939661026001,15
7,etr,9.388406521580755,0.9234965473543244,4.472537517547607,15
0,OLS,20.888758999875115,0.6260200936456782,0.011967658996582031,16
1,ElasticNet,21.081928539038064,0.6190713271628194,0.3370985984802246,16
2,BayesianRidge,20.88545980127739,0.6261382180920307,0.013962507247924805,16
3,Lasso,20.921606680733863,0.6248429982298032,0.34607458114624023,16
4,Ridge,20.88870047184512,0.6260221893447586,0.004987001419067383,16
5,KNN,17.75121161888937,0.7299283531498888,0.17353582382202148,16
6,rff,9.627182212229958,0.9205632672371367,17.11543893814087,16
7,etr,9.271854466164498,0.9263188828076393,4.686079263687134,16
0,OLS,20.979730867404633,0.6274296762280624,0.011968135833740234,17
1,ElasticNet,21.435002353689548,0.6110842735230569,0.3610341548919678,17
2,BayesianRidge,20.98205693424491,0.6273470563390413,0.013962507247924805,17
3,Lasso,21.1287335092063,0.6221187312012828,0.3869655132293701,17
4,Ridge,20.97975707933643,0.6274287452538685,0.008975505828857422,17
5,KNN,18.03236360233499,0.7247586079956778,0.1874985694885254,17
6,rff,9.849998123860589,0.9178739889027763,18.41734743118286,17
7,etr,9.644609160793282,0.921263210982415,5.055694818496704,17
0,OLS,20.67856184393563,0.6412188527244601,0.012932538986206055,18
1,ElasticNet,21.009579253662075,0.629640352241609,0.3779888153076172,18
2,BayesianRidge,20.677946051772025,0.6412402208767498,0.013962030410766602,18
3,Lasso,20.762964556857153,0.6382840352144246,0.4198765754699707,18
4,Ridge,20.678551399662876,0.6412192151488146,0.0059926509857177734,18
5,KNN,18.179113591712113,0.722709903583908,0.15756988525390625,18
6,rff,9.55690359577033,0.9233656704283483,19.970420122146606,18
7,etr,9.20618473780512,0.9288871108909879,5.422078371047974,18
0,OLS,20.978235620102293,0.629649776376249,0.013927936553955078,19
1,ElasticNet,21.270835619691287,0.6192465947490743,0.3819468021392822,19
2,BayesianRidge,20.975427264760217,0.629748927270575,0.013962507247924805,19
3,Lasso,21.050608640622396,0.6270900187860753,0.4478023052215576,19
4,Ridge,20.978183582115932,0.6296516137334351,0.005984783172607422,19
5,KNN,18.126004402173084,0.7235103647362254,0.16256475448608398,19
6,rff,9.773148056244214,0.9196208055417672,20.21122145652771,19
7,etr,9.50098420334373,0.9240352898006263,5.28110146522522,19
0,OLS,20.5126199786651,0.6556441450393906,0.014925718307495117,20
1,ElasticNet,21.23427369884512,0.6309883947092602,0.4198770523071289,20
2,BayesianRidge,20.519292426200145,0.6554200810162596,0.014960765838623047,20
3,Lasso,20.8468758331271,0.6443300594043779,0.46874547004699707,20
4,Ridge,20.512721608804714,0.6556407327965519,0.00698089599609375,20
5,KNN,17.776850350755115,0.7413724201127454,0.16057109832763672,20
6,rff,10.061965997050672,0.9171426777705519,22.65605401992798,20
7,etr,9.655629550603575,0.9236996740198595,5.936837196350098,20
0,OLS,19.932813353872756,0.6634104070016518,0.014960527420043945,21
